sample_index,filename,tags,branch_tags,paper_use,baseline_teds,phase5e_teds,delta_full_vs_baseline,horizontal_teds,vertical_teds,complexity_score,header_rows,row_count,max_width,span_tokens,rowspan_tokens,colspan_tokens,max_rowspan,max_colspan,span_area,gt_len,copied_image,image_path
1707,PMC2575590_004_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;tall_table;wide_table,,horizontal branch / colspan evidence;long-range relation evidence,0.0,0.0,0.0,,,239.2,1,15,9,32,0,32,1,2,64,233,images/01707_PMC2575590_004_00.png,train_data/table/pubtabnet/val/PMC2575590_004_00.png
4866,PMC3975179_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.3099730458221024,0.3099730458221024,0.0,,,235.0,2,38,8,28,26,2,3,2,58,438,images/04866_PMC3975179_003_00.png,train_data/table/pubtabnet/val/PMC3975179_003_00.png
3921,PMC4980996_008_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.07878787878787874,0.09696969696969693,0.018181818181818188,,,228.3,1,48,6,27,18,9,2,6,90,406,images/03921_PMC4980996_008_00.png,train_data/table/pubtabnet/val/PMC4980996_008_00.png
3713,PMC5525011_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0821917808219178,0.0,-0.0821917808219178,,,227.20000000000002,3,28,6,26,2,25,2,6,59,274,images/03713_PMC5525011_004_00.png,train_data/table/pubtabnet/val/PMC5525011_004_00.png
17,PMC5303243_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,226.79999999999998,1,21,7,27,8,19,6,7,79,222,images/00017_PMC5303243_003_00.png,train_data/table/pubtabnet/val/PMC5303243_003_00.png
3726,PMC6027546_006_00.png,row_col_span;long_range_dependency;vertical_dependency;wide_table,,vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,225.79999999999998,1,13,9,30,30,0,2,1,60,207,images/03726_PMC6027546_006_00.png,train_data/table/pubtabnet/val/PMC6027546_006_00.png
1220,PMC4100025_001_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;long-range relation evidence,0.5892857142857143,1.0,0.4107142857142857,,,223.8,1,34,5,27,0,27,1,5,64,286,images/01220_PMC4100025_001_00.png,train_data/table/pubtabnet/val/PMC4100025_001_00.png
1149,PMC4940151_002_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;long-range relation evidence,0.0,0.0,0.0,,,222.4,1,32,5,27,0,27,1,5,107,229,images/01149_PMC4940151_002_00.png,train_data/table/pubtabnet/val/PMC4940151_002_00.png
611,PMC5880068_006_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,1.0,0.09230769230769231,-0.9076923076923077,1.0,1.0,220.1,1,40,7,26,26,0,5,1,76,392,images/00611_PMC5880068_006_00.png,train_data/table/pubtabnet/val/PMC5880068_006_00.png
2935,PMC5558771_002_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,219.8,1,15,6,28,28,0,7,1,66,170,images/02935_PMC5558771_002_00.png,train_data/table/pubtabnet/val/PMC5558771_002_00.png
388,PMC4747949_006_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,218.3,2,17,8,26,22,4,2,8,66,212,images/00388_PMC4747949_006_00.png,train_data/table/pubtabnet/val/PMC4747949_006_00.png
2055,PMC5041966_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,217.40000000000003,2,24,6,27,26,1,2,2,54,250,images/02055_PMC5041966_004_00.png,train_data/table/pubtabnet/val/PMC5041966_004_00.png
4523,PMC3484035_005_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.008368200836820106,0.8458149779735683,0.8374467771367482,,,217.29999999999998,2,23,9,25,0,25,1,9,85,272,images/04523_PMC3484035_005_00.png,train_data/table/pubtabnet/val/PMC3484035_005_00.png
1677,PMC4445811_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.78,0.78,,,213.9,3,15,11,25,23,2,3,5,58,241,images/01677_PMC4445811_003_00.png,train_data/table/pubtabnet/val/PMC4445811_003_00.png
3339,PMC3729529_002_01.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.5575757575757576,0.5575757575757576,0.0,,,213.29999999999998,3,31,9,23,18,5,2,8,52,385,images/03339_PMC3729529_002_01.png,train_data/table/pubtabnet/val/PMC3729529_002_01.png
4516,PMC4546212_007_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.22680412371134018,0.2906574394463668,0.06385331573502662,,,208.6,3,36,7,22,1,21,2,7,68,348,images/04516_PMC4546212_007_00.png,train_data/table/pubtabnet/val/PMC4546212_007_00.png
1848,PMC3892065_002_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.855072463768116,0.855072463768116,0.0,,,208.2,1,21,4,27,27,0,2,1,54,184,images/01848_PMC3892065_002_00.png,train_data/table/pubtabnet/val/PMC3892065_002_00.png
3795,PMC4706672_004_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.06713780918727918,0.007042253521126751,-0.060095555666152434,,,207.3,1,41,6,24,24,0,5,1,80,348,images/03795_PMC4706672_004_00.png,train_data/table/pubtabnet/val/PMC4706672_004_00.png
1298,PMC6019000_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.15652173913043477,0.16040955631399323,0.003887817183558462,,,202.7,2,31,10,19,12,7,10,10,120,332,images/01298_PMC6019000_003_00.png,train_data/table/pubtabnet/val/PMC6019000_003_00.png
4564,PMC5551138_002_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.12107623318385652,0.1076233183856502,-0.013452914798206317,,,196.7,1,45,4,21,17,4,10,2,68,290,images/04564_PMC5551138_002_00.png,train_data/table/pubtabnet/val/PMC5551138_002_00.png
3166,PMC3006023_004_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.015544041450777257,0.0,-0.015544041450777257,,,194.2,2,30,5,22,0,22,1,5,56,246,images/03166_PMC3006023_004_00.png,train_data/table/pubtabnet/val/PMC3006023_004_00.png
762,PMC5223326_006_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.4698275862068966,0.9557522123893806,0.485924626182484,0.9557522123893806,0.9557522123893806,194.0,2,41,5,21,1,20,2,5,96,279,images/00762_PMC5223326_006_00.png,train_data/table/pubtabnet/val/PMC5223326_006_00.png
3714,PMC3598868_004_00.png,row_col_span;long_range_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;long-range relation evidence,0.968,1.0,0.03200000000000003,,,193.9,1,29,4,23,0,23,1,4,92,178,images/03714_PMC3598868_004_00.png,train_data/table/pubtabnet/val/PMC3598868_004_00.png
277,PMC3140193_007_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.041450777202072575,0.051813471502590636,0.01036269430051806,0.051813471502590636,0.051813471502590636,193.8,1,34,4,23,23,0,3,1,49,251,images/00277_PMC3140193_007_00.png,train_data/table/pubtabnet/val/PMC3140193_007_00.png
4911,PMC3536692_006_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.09665427509293678,0.21292775665399244,0.11627348156105566,,,193.1,2,28,10,20,0,20,1,10,108,312,images/04911_PMC3536692_006_00.png,train_data/table/pubtabnet/val/PMC3536692_006_00.png
4051,PMC4928353_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,189.2,2,16,10,21,17,4,8,2,82,198,images/04051_PMC4928353_004_00.png,train_data/table/pubtabnet/val/PMC4928353_004_00.png
1139,PMC5142315_010_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.2831858407079646,1.0,0.7168141592920354,,,186.1,3,46,7,18,5,13,3,7,101,389,images/01139_PMC5142315_010_00.png,train_data/table/pubtabnet/val/PMC5142315_010_00.png
2346,PMC6050565_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.42592592592592593,0.42592592592592593,,,185.6,2,30,9,21,19,2,2,2,42,376,images/02346_PMC6050565_003_00.png,train_data/table/pubtabnet/val/PMC6050565_003_00.png
4305,PMC4517561_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,1.0,0.28095238095238095,-0.719047619047619,,,184.60000000000002,2,22,8,21,20,1,4,2,54,254,images/04305_PMC4517561_004_00.png,train_data/table/pubtabnet/val/PMC4517561_004_00.png
1284,PMC3707736_003_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table;wide_table,,vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,184.4,1,29,8,21,21,0,4,1,56,322,images/01284_PMC3707736_003_00.png,train_data/table/pubtabnet/val/PMC3707736_003_00.png
1963,PMC6089597_015_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;long-range relation evidence,0.0,0.0,0.0,,,180.2,1,23,7,21,0,21,1,4,67,228,images/01963_PMC6089597_015_00.png,train_data/table/pubtabnet/val/PMC6089597_015_00.png
454,PMC5914017_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.7301038062283737,1.0,0.2698961937716263,1.0,1.0,179.9,3,18,15,17,10,8,9,4,54,325,images/00454_PMC5914017_004_00.png,train_data/table/pubtabnet/val/PMC5914017_004_00.png
2694,PMC4324803_004_00.png,row_col_span;long_range_dependency;horizontal_dependency;tall_table;wide_table,,horizontal branch / colspan evidence;long-range relation evidence,0.4787234042553191,0.41247002398081534,-0.06625338027450378,,,179.3,1,22,15,21,0,21,1,2,42,420,images/02694_PMC4324803_004_00.png,train_data/table/pubtabnet/val/PMC4324803_004_00.png
1920,PMC5034854_002_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,178.5,1,26,6,20,20,0,6,1,95,197,images/01920_PMC5034854_002_00.png,train_data/table/pubtabnet/val/PMC5034854_002_00.png
1875,PMC5377923_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.08843537414965985,0.0,-0.08843537414965985,,,178.0,2,25,5,19,17,2,7,2,63,192,images/01875_PMC5377923_003_00.png,train_data/table/pubtabnet/val/PMC5377923_003_00.png
730,PMC5646112_004_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,dual_branch_complementary,vertical branch / rowspan evidence;long-range relation evidence;axis ablation evidence,0.0,0.07725321888412018,0.07725321888412018,0.07659574468085106,0.07659574468085106,175.7,1,38,5,19,19,0,5,1,56,290,images/00730_PMC5646112_004_00.png,train_data/table/pubtabnet/val/PMC5646112_004_00.png
3520,PMC4997510_005_01.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.706199460916442,0.6979695431472082,-0.008229917769233874,,,174.1,3,21,16,18,6,12,3,3,43,411,images/03520_PMC4997510_005_01.png,train_data/table/pubtabnet/val/PMC4997510_005_01.png
3724,PMC3258189_004_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.13207547169811318,0.13207547169811318,0.0,,,171.7,2,19,9,20,0,20,1,3,41,252,images/03724_PMC3258189_004_00.png,train_data/table/pubtabnet/val/PMC3258189_004_00.png
2796,PMC4231568_003_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.16990291262135926,0.040000000000000036,-0.12990291262135922,,,169.6,1,25,7,19,19,0,4,1,61,244,images/02796_PMC4231568_003_00.png,train_data/table/pubtabnet/val/PMC4231568_003_00.png
3326,PMC5737270_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.9305555555555556,0.9305555555555556,0.0,,,169.1,2,28,4,18,9,9,3,4,54,189,images/03326_PMC5737270_004_00.png,train_data/table/pubtabnet/val/PMC5737270_004_00.png
4409,PMC3716624_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.7870722433460076,0.7870722433460076,0.0,,,168.6,2,28,8,17,10,7,4,6,43,309,images/04409_PMC3716624_003_00.png,train_data/table/pubtabnet/val/PMC3716624_003_00.png
4185,PMC4303194_001_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.3202614379084967,0.673202614379085,0.3529411764705883,,,167.8,1,20,6,20,20,0,3,1,50,194,images/04185_PMC4303194_001_00.png,train_data/table/pubtabnet/val/PMC4303194_001_00.png
2669,PMC4570508_007_01.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.4458333333333333,0.5458333333333334,0.10000000000000009,,,167.50000000000003,2,19,11,17,1,16,2,10,42,277,images/02669_PMC4570508_007_01.png,train_data/table/pubtabnet/val/PMC4570508_007_01.png
1461,PMC3113947_009_01.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;wide_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.31875,0.005681818181818232,-0.31306818181818175,,,167.2,3,13,9,19,0,19,1,4,42,181,images/01461_PMC3113947_009_01.png,train_data/table/pubtabnet/val/PMC3113947_009_01.png
145,PMC5007994_003_01.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,166.0,1,29,4,18,9,9,3,4,55,195,images/00145_PMC5007994_003_01.png,train_data/table/pubtabnet/val/PMC5007994_003_01.png
1801,PMC3878097_006_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.8214285714285714,0.8214285714285714,0.0,,,165.4,1,17,4,21,21,0,2,1,42,148,images/01801_PMC3878097_006_00.png,train_data/table/pubtabnet/val/PMC3878097_006_00.png
4075,PMC5372986_001_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.15923566878980888,0.16560509554140124,0.006369426751592355,,,165.4,2,44,6,17,15,2,3,2,48,376,images/04075_PMC5372986_001_00.png,train_data/table/pubtabnet/val/PMC5372986_001_00.png
579,PMC3854066_007_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,164.8,1,19,6,19,0,19,1,6,46,186,images/00579_PMC3854066_007_00.png,train_data/table/pubtabnet/val/PMC3854066_007_00.png
1229,PMC4828879_002_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,163.4,1,15,4,21,21,0,2,1,42,136,images/01229_PMC4828879_002_00.png,train_data/table/pubtabnet/val/PMC4828879_002_00.png
405,PMC5628451_006_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.9595375722543352,1.0,0.040462427745664775,1.0,1.0,162.8,1,37,3,18,17,1,2,3,37,224,images/00405_PMC5628451_006_00.png,train_data/table/pubtabnet/val/PMC5628451_006_00.png
412,PMC2649229_004_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,1.0,1.0,0.0,1.0,1.0,162.5,2,48,5,16,0,16,1,5,74,330,images/00412_PMC2649229_004_00.png,train_data/table/pubtabnet/val/PMC2649229_004_00.png
1661,PMC4514976_004_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.2259414225941423,0.2259414225941423,0.0,,,162.3,1,40,6,16,1,15,2,6,92,296,images/01661_PMC4514976_004_00.png,train_data/table/pubtabnet/val/PMC4514976_004_00.png
55,PMC5106839_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,dual_branch_complementary;full_mamba_strong_gain_vs_single_axis,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence;axis ablation evidence,0.3648648648648649,0.4305555555555556,0.06569069069069067,0.0,0.0,161.9,2,29,4,16,9,7,6,4,52,190,images/00055_PMC5106839_003_00.png,train_data/table/pubtabnet/val/PMC5106839_003_00.png
827,PMC3441242_003_01.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.1535087719298246,0.1535087719298246,0.0,0.1535087719298246,0.1535087719298246,160.39999999999998,1,41,4,18,18,0,2,1,36,286,images/00827_PMC3441242_003_01.png,train_data/table/pubtabnet/val/PMC3441242_003_01.png
3427,PMC4975853_002_00.png,row_col_span;long_range_dependency;vertical_dependency;wide_table,,vertical branch / rowspan evidence;long-range relation evidence,0.8796992481203008,0.8796992481203008,0.0,,,160.0,1,13,9,19,19,0,3,1,57,166,images/03427_PMC4975853_002_00.png,train_data/table/pubtabnet/val/PMC4975853_002_00.png
